pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
Kepler-1726 b,Kepler-1726,Transit,2021.0,Kepler,2.50861954,6.84,18.39629936,0.12794,390.552,5316.0,0.804,0.876,2020,Neptune-like 2–6,10–50 days,100–500 pc,2021
Kepler-1727 b,Kepler-1727,Transit,2021.0,Kepler,3.17321625,10.2,9.029299736,0.0796,894.187,5349.0,0.82,0.824,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-1728 b,Kepler-1728,Transit,2021.0,Kepler,2.95501875,9.04,4.782999992,0.0535,651.783,5170.0,0.807,0.891,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-1729 b,Kepler-1729,Transit,2021.0,Kepler,3.89404186,14.4,4.220970154,0.0418,576.181,3837.0,0.517,0.544,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-173 b,Kepler-173,Transit,2014.0,Kepler,1.29,2.21,4.263742,0.048,833.165,6031.0,0.949,1.067,2010,Super-Earth 1.25–2,3–10 days,"500–1,000 pc",2014
Kepler-173 c,Kepler-173,Transit,2014.0,Kepler,2.43,6.48,8.005777,0.074,833.165,6031.0,0.949,1.067,2010,Neptune-like 2–6,3–10 days,"500–1,000 pc",2014
Kepler-1730 b,Kepler-1730,Transit,2021.0,Kepler,4.48524519,18.4,13.81019974,0.1131,1427.08,5942.0,1.142,1.009,2020,Neptune-like 2–6,10–50 days,"1,000–5,000 pc",2021
Kepler-1731 b,Kepler-1731,Transit,2021.0,Kepler,2.93295657,8.92,21.76129913,0.1399,169.948,4859.0,0.72,0.781,2020,Neptune-like 2–6,10–50 days,100–500 pc,2021
Kepler-1732 b,Kepler-1732,Transit,2021.0,Kepler,4.09903273,15.7,32.31240082,0.2015,1289.41,5821.0,1.494,1.043,2020,Neptune-like 2–6,10–50 days,"1,000–5,000 pc",2021
Kepler-1733 b,Kepler-1733,Transit,2021.0,Kepler,3.63582354,12.8,9.229579926,0.0933,2080.51,6320.0,1.252,1.273,2020,Neptune-like 2–6,3–10 days,"1,000–5,000 pc",2021
Kepler-1734 b,Kepler-1734,Transit,2021.0,Kepler,3.08851092,9.74,6.796850204,0.0714,1482.83,6061.0,0.97,1.05,2020,Neptune-like 2–6,3–10 days,"1,000–5,000 pc",2021
Kepler-1735 b,Kepler-1735,Transit,2021.0,Kepler,1.19429134,1.84,7.71792984,0.0621,245.303,3975.0,0.509,0.535,2020,Earth-size 0.5–1.25,3–10 days,100–500 pc,2021
Kepler-1736 b,Kepler-1736,Transit,2021.0,Kepler,3.8765856,14.3,37.81029892,0.2188,1430.0,6085.0,0.973,0.976,2020,Neptune-like 2–6,10–50 days,"1,000–5,000 pc",2021
Kepler-1737 b,Kepler-1737,Transit,2021.0,Kepler,5.395,25.1,64.61750031,0.297,,5043.0,0.881,0.834,2020,Neptune-like 2–6,50–365 days,Unknown,2021
Kepler-1738 b,Kepler-1738,Transit,2021.0,Kepler,2.82472883,8.37,7.674630165,0.0781,1302.87,6063.0,1.001,1.079,2020,Neptune-like 2–6,3–10 days,"1,000–5,000 pc",2021
Kepler-1739 b,Kepler-1739,Transit,2021.0,Kepler,2.43056832,6.48,7.343709946,0.0697,783.666,5757.0,0.762,0.865,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-174 b,Kepler-174,Transit,2014.0,Kepler,1.96,4.5,13.98179,0.1,384.757,4880.0,0.622,0.602,2010,Super-Earth 1.25–2,10–50 days,100–500 pc,2014
Kepler-174 c,Kepler-174,Transit,2014.0,Kepler,1.49,2.83,44.000529,0.214,384.757,4880.0,0.622,0.602,2010,Super-Earth 1.25–2,10–50 days,100–500 pc,2014
Kepler-174 d,Kepler-174,Transit,2014.0,Kepler,2.19,5.43,247.35373,0.677,384.757,4880.0,0.622,0.602,2010,Neptune-like 2–6,50–365 days,100–500 pc,2014
Kepler-1740 b,Kepler-1740,Transit,2021.0,Kepler,3.32321414,11.0,8.172400475,0.0779,1061.77,5705.0,0.905,0.943,2020,Neptune-like 2–6,3–10 days,"1,000–5,000 pc",2021
Kepler-1741 b,Kepler-1741,Transit,2021.0,Kepler,1.273,2.16,2.757590055,0.0296,270.739,3683.0,0.424,0.454,2020,Super-Earth 1.25–2,<3 days,100–500 pc,2021
