pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
K2-79 b,K2-79,Transit,2016.0,K2,4.15,5.9,10.995039,0.0987,256.011,5897.0,1.269,1.06,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
K2-8 b,K2-8,Transit,2015.0,K2,3.58,12.5,10.35239,0.0856,403.513,4870.0,0.74,0.78,2010,Neptune-like 2–6,10–50 days,100–500 pc,2015
K2-8 c,K2-8,Transit,2016.0,K2,2.41,6.39,5.06416,0.0532,403.513,4870.0,0.74,0.78,2010,Neptune-like 2–6,3–10 days,100–500 pc,2016
K2-80 b,K2-80,Transit,2016.0,K2,2.01,4.7,19.0918,0.135,200.802,5441.0,0.87,0.9,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
K2-80 c,K2-80,Transit,2016.0,K2,1.47,2.76,5.605,0.0596,200.802,5441.0,0.87,0.9,2010,Super-Earth 1.25–2,3–10 days,100–500 pc,2016
K2-80 d,K2-80,Transit,2018.0,K2,2.55211506,7.04,28.867253,,200.802,5377.0,0.841458,0.913111,2010,Neptune-like 2–6,10–50 days,100–500 pc,2018
K2-81 b,K2-81,Transit,2016.0,K2,1.97,4.54,6.102325,0.059,252.318,4674.13,0.634663,0.745273,2010,Super-Earth 1.25–2,3–10 days,100–500 pc,2016
K2-83 b,K2-83,Transit,2016.0,K2,1.244,2.08,2.74697,0.03014,125.529,3910.0,0.424,0.484,2010,Earth-size 0.5–1.25,<3 days,100–500 pc,2016
K2-83 c,K2-83,Transit,2016.0,K2,1.483,2.8,9.99767,0.07131,125.529,3910.0,0.424,0.484,2010,Super-Earth 1.25–2,3–10 days,100–500 pc,2016
K2-84 b,K2-84,Transit,2016.0,K2,2.41,6.39,6.4215,0.0665,284.876,5652.0,0.93,0.95,2010,Neptune-like 2–6,3–10 days,100–500 pc,2016
K2-84 c,K2-84,Transit,2016.0,K2,2.03,4.78,27.86,0.1768,284.876,5652.0,0.93,0.95,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
K2-85 b,K2-85,Transit,2016.0,K2,1.4,3.2,0.68453862616,0.013,97.2179,4232.0,0.71,0.7,2010,Super-Earth 1.25–2,<3 days,50–100 pc,2016
K2-86 b,K2-86,Transit,2016.0,K2,1.96,4.5,8.77683,0.077,258.699,5482.0,0.76,0.79,2010,Super-Earth 1.25–2,3–10 days,100–500 pc,2016
K2-87 b,K2-87,Transit,2016.0,K2,7.6,44.9,9.726618,0.094,491.242,5747.0,1.401,1.164,2010,Gas giant 6–15,3–10 days,100–500 pc,2016
K2-88 b,K2-88,Transit,2016.0,K2,1.23,2.04,4.6122,0.0345,110.561,3537.0,0.256,0.258,2010,Earth-size 0.5–1.25,3–10 days,100–500 pc,2016
K2-89 b,K2-89,Transit,2016.0,K2,0.615,0.17,1.096026,0.01462,86.0386,3691.0,0.318,0.347,2010,Earth-size 0.5–1.25,<3 days,50–100 pc,2016
K2-9 b,K2-9,Transit,2015.0,K2,2.25,5.69,18.4498,0.091,82.9631,3390.0,0.31,0.3,2010,Neptune-like 2–6,10–50 days,50–100 pc,2015
K2-90 b,K2-90,Transit,2016.0,K2,2.6,7.27,13.733314,0.096,134.188,4484.0,0.619,0.629,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
K2-90 c,K2-90,Transit,2016.0,K2,1.3,2.24,2.900706,0.035,134.188,4421.98,0.634754,0.704613,2010,Super-Earth 1.25–2,<3 days,100–500 pc,2016
K2-91 b,K2-91,Transit,2016.0,K2,1.1,1.37,1.419549,0.0164,62.5785,3622.0,0.284,0.292,2010,Earth-size 0.5–1.25,<3 days,50–100 pc,2016
K2-95 b,K2-95,Transit,2016.0,K2,3.31,11.0,10.1346454,0.0525,179.854,3566.0,0.4,0.41,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
K2-97 b,K2-97,Transit,2016.0,K2,13.45077684,174.48779544,8.407115,0.0854,878.43,4673.0,4.14,1.17,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2016
K2-98 b,K2-98,Transit,2016.0,K2,5.06645928,34.00763955,10.1367349,0.0986,518.625,6260.0,1.518,1.246,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2016
K2-99 b,K2-99,Transit,2016.0,K2,11.88151954,276.51071409,18.24783,0.153,519.229,6069.0,2.55,1.44,2010,Gas giant 6–15,10–50 days,"500–1,000 pc",2016
K2-99 c,K2-99,Radial Velocity,2022.0,Multiple Observatories,12.6,2669.7586188,522.2,1.43,519.229,6069.0,2.55,1.44,2020,Gas giant 6–15,1–10 years,"500–1,000 pc",2022
KELT-1 b,KELT-1,Transit,2012.0,KELT,12.442,8654.15,1.217514,0.02466,268.43,6516.0,1.471,1.335,2010,Gas giant 6–15,<3 days,100–500 pc,2012
KELT-10 b,KELT-10,Transit,2016.0,KELT-South,15.681391,215.80657,4.1662739,0.0525,188.404,5948.0,1.209,1.112,2010,>15 Earth radii,3–10 days,100–500 pc,2016
KELT-11 b,KELT-11,Transit,2017.0,KELT-South,15.13212395,65.15482343,4.73620865,0.0623,99.1596,5375.0,2.69,1.44,2010,>15 Earth radii,3–10 days,50–100 pc,2017
KELT-12 b,KELT-12,Transit,2017.0,KELT-North,19.95202,301.9385,5.031623,0.06708,368.03,6279.0,2.37,1.591,2010,>15 Earth radii,3–10 days,100–500 pc,2017
KELT-14 b,KELT-14,Transit,2016.0,KELT-South,19.537287,408.09372,1.7100566,0.03005,250.121,5720.0,1.52,1.239,2010,>15 Earth radii,<3 days,100–500 pc,2016
KELT-15 b,KELT-15,Transit,2016.0,KELT-South,19.50366,416.3573,3.32944,0.04613,324.683,6003.0,1.78,2.06,2010,>15 Earth radii,3–10 days,100–500 pc,2016
KELT-16 b,KELT-16,Transit,2017.0,KELT,15.860735,874.0325,0.9689951,0.02044,444.586,6236.0,1.36,1.211,2010,>15 Earth radii,<3 days,100–500 pc,2017
KELT-17 b,KELT-17,Transit,2016.0,KELT,17.093725,416.3573,3.0801716,0.04881,226.5,7454.0,1.645,1.635,2010,>15 Earth radii,3–10 days,100–500 pc,2016
KELT-18 b,KELT-18,Transit,2017.0,KELT-North,17.59813,375.0394,2.8717518,0.0455,321.376,6670.0,1.908,1.524,2010,>15 Earth radii,<3 days,100–500 pc,2017
KELT-19 A b,KELT-19 A,Transit,2017.0,KELT,21.40919,1293.5681,4.6117093,0.0637,300.276,7500.0,1.83,1.62,2010,>15 Earth radii,3–10 days,100–500 pc,2017
KELT-2 A b,KELT-2 A,Transit,2012.0,KELT,15.13215,540.311,4.11379,0.05497,134.058,6327.0,1.93,1.54,2010,>15 Earth radii,3–10 days,100–500 pc,2012
KELT-20 b,KELT-20,Transit,2017.0,KELT-North,19.514869,1074.90106,3.4741085,0.0542,136.426,8720.0,1.565,1.76,2010,>15 Earth radii,3–10 days,100–500 pc,2017
KELT-21 b,KELT-21,Transit,2018.0,KELT-North,17.777474,1242.7153,3.6127647,0.05224,470.878,7598.0,1.638,1.458,2010,>15 Earth radii,3–10 days,100–500 pc,2018
KELT-23 A b,KELT-23 A,Transit,2019.0,KELT-North,14.829507,298.12454,2.255251,0.03302,126.261,5899.0,0.996,0.944,2010,Gas giant 6–15,<3 days,100–500 pc,2019
KELT-24 b,KELT-24,Transit,2019.0,KELT-North,12.71098411,1458.83238813,5.55149296,0.0665,96.5173,6426.0,1.338,1.268,2010,Gas giant 6–15,3–10 days,50–100 pc,2019
KELT-3 b,KELT-3,Transit,2013.0,KELT,17.48604,616.5902,2.70339,0.04123,210.252,6304.0,1.7,1.96,2010,>15 Earth radii,<3 days,100–500 pc,2013
KELT-4 A b,KELT-4 A,Transit,2016.0,KELT,19.044091,286.68266,2.9895932,0.04317,218.05,6206.0,1.603,1.201,2010,>15 Earth radii,<3 days,100–500 pc,2016
KELT-6 b,KELT-6,Transit,2014.0,KELT,14.5717,165.2716,7.8457,0.07939,240.726,6102.0,1.73,1.42,2010,Gas giant 6–15,3–10 days,100–500 pc,2014
KELT-6 c,KELT-6,Radial Velocity,2015.0,Multiple Observatories,13.0,1179.1493,1276.0,2.39,240.726,6272.0,1.529,1.126,2010,Gas giant 6–15,1–10 years,100–500 pc,2015
KELT-7 b,KELT-7,Transit,2015.0,KELT,17.9344,441.7837,2.73477,0.04415,136.681,6768.0,1.81,1.76,2010,>15 Earth radii,<3 days,100–500 pc,2015
KELT-8 b,KELT-8,Transit,2015.0,KELT,18.15858,209.7678,3.24406,0.0455,197.572,5754.0,1.46,0.81,2010,>15 Earth radii,3–10 days,100–500 pc,2015
KELT-9 b,KELT-9,Transit,2017.0,KELT-North,21.196219,915.3504,1.4811235,0.03462,204.455,10170.0,2.362,2.52,2010,>15 Earth radii,<3 days,100–500 pc,2017
KIC 10001893 b,KIC 10001893,Orbital Brightness Modulation,2014.0,Kepler,,,0.2197,,1672.94,27500.0,0.18,0.47,2010,Unknown,<3 days,"1,000–5,000 pc",2014
KIC 10001893 c,KIC 10001893,Orbital Brightness Modulation,2014.0,Kepler,,,0.32528,,1672.94,27500.0,0.18,0.47,2010,Unknown,<3 days,"1,000–5,000 pc",2014
KIC 10001893 d,KIC 10001893,Orbital Brightness Modulation,2014.0,Kepler,,,0.81161,,1672.94,27500.0,0.18,0.47,2010,Unknown,<3 days,"1,000–5,000 pc",2014
KIC 10068024 b,KIC 10068024,Orbital Brightness Modulation,2021.0,Kepler,13.4,635.656814,2.073549,,721.105,6118.4,1.574,1.22,2020,Gas giant 6–15,<3 days,"500–1,000 pc",2021
KIC 10525077 b,KIC 10525077,Transit,2015.0,Kepler,5.5,25.9,854.083,,1461.15,6091.0,1.01,1.01,2010,Neptune-like 2–6,1–10 years,"1,000–5,000 pc",2015
KIC 3526061 b,KIC 3526061,Radial Velocity,2022.0,McDonald Observatory,12.1,5768.58558705,3552.0,5.14,401.229,4829.0,5.86,1.42,2020,Gas giant 6–15,1–10 years,100–500 pc,2022
KIC 3558849 b,KIC 3558849,Transit,2015.0,Kepler,6.9,38.1,1322.3,,1215.7,6175.0,1.01,0.98,2010,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2015
KIC 5437945 b,KIC 5437945,Transit,2015.0,Kepler,6.4,33.6,440.7813,1.19671,1274.01,6340.0,1.24,1.07,2010,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2015
KIC 5479689 b,KIC 5479689,Orbital Brightness Modulation,2021.0,Kepler,14.2,158.9142035,1.701531,,454.95,5459.1,0.894,0.966,2020,Gas giant 6–15,<3 days,100–500 pc,2021
KIC 7917485 b,KIC 7917485,Pulsation Timing Variations,2016.0,Kepler,12.4,3750.394,840.0,,1382.89,7067.0,2.009938,1.63,2010,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2016
KIC 8121913 b,KIC 8121913,Orbital Brightness Modulation,2021.0,Kepler,13.4,667.4396547,3.294601,,707.303,5975.3,2.233,1.456,2020,Gas giant 6–15,3–10 days,"500–1,000 pc",2021
KIC 8540376 b,KOI-7892,Transit,2015.0,Kepler,4.1,15.8,31.8099,,1072.3,6474.0,1.26,1.04,2010,Neptune-like 2–6,10–50 days,"1,000–5,000 pc",2015
KIC 8540376 c,KOI-7892,Transit,2015.0,Kepler,2.4,6.35,75.2,,1072.3,6474.0,1.26,1.04,2010,Neptune-like 2–6,50–365 days,"1,000–5,000 pc",2015
KIC 9663113 b,KIC 9663113,Transit,2015.0,Kepler,4.6,19.2,572.3847,1.55346,1594.74,6065.0,1.03,0.98,2010,Neptune-like 2–6,1–10 years,"1,000–5,000 pc",2015
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,Microlensing,2018.0,KMTNet,12.2,5700.0,,2.2,6300.0,,,0.48,2010,Gas giant 6–15,Unknown,">5,000 pc",2018
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,Microlensing,2023.0,KMTNet,1.33,2.32,,2.44,5080.0,,,0.41,2020,Super-Earth 1.25–2,Unknown,">5,000 pc",2023
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,Microlensing,2019.0,KMTNet,13.1,1043.0,,0.342,6651.0,,,0.087,2010,Gas giant 6–15,Unknown,">5,000 pc",2019
KMT-2016-BLG-1337L b,KMT-2016-BLG-1337L,Microlensing,2026.0,KMTNet,11.4,88.99195396,,3.97,6920.0,,,0.54,2020,Gas giant 6–15,Unknown,">5,000 pc",2026
KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,Microlensing,2018.0,KMTNet,12.7,2200.0,,5.1,6600.0,,,0.45,2010,Gas giant 6–15,Unknown,">5,000 pc",2018
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,Microlensing,2018.0,KMTNet,12.9,1450.0,,1.08,6260.0,,,0.039,2010,Gas giant 6–15,Unknown,">5,000 pc",2018
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,Microlensing,2019.0,KMTNet,13.3,700.0,,3.5,7100.0,,,0.49,2010,Gas giant 6–15,Unknown,">5,000 pc",2019
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,Microlensing,2018.0,KMTNet,12.2,4923.0,,0.83,7010.0,,,0.073,2010,Gas giant 6–15,Unknown,">5,000 pc",2018
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,Microlensing,2024.0,KMTNet,13.8,301.93698665,,3.58,3580.0,,,0.73,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2024
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,Microlensing,2020.0,KMTNet,13.0,1250.0,,2.63,6440.0,,,0.5,2020,Gas giant 6–15,Unknown,">5,000 pc",2020
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,Microlensing,2020.0,KMTNet,13.2,836.0,,3.64,4880.0,,,0.64,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2020
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,Microlensing,2021.0,KMTNet,14.0,245.0457018,,0.681,6421.0,,,0.064,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,Microlensing,2018.0,KMTNet,6.45,34.0,,3.45,4530.0,,,0.76,2010,Gas giant 6–15,Unknown,"1,000–5,000 pc",2018
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,Microlensing,2023.0,KMTNet,2.23,5.59,,1.81,5400.0,,,0.34,2020,Neptune-like 2–6,Unknown,">5,000 pc",2023
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,Microlensing,2022.0,KMTNet,13.0,1166.43025369,,2.34,5080.0,,,0.63,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,Microlensing,2024.0,KMTNet,2.41,6.39,,2.73,7220.0,,,0.19,2020,Neptune-like 2–6,Unknown,">5,000 pc",2024
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,Microlensing,2023.0,KMTNet,2.13,5.19,,1.38,7090.0,,,0.32,2020,Neptune-like 2–6,Unknown,">5,000 pc",2023
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,Microlensing,2019.0,KMTNet,13.4,640.0,,1.8,6000.0,,,0.37,2010,Gas giant 6–15,Unknown,">5,000 pc",2019
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,Microlensing,2024.0,KMTNet,5.19,23.5,,2.36,6500.0,,,0.57,2020,Neptune-like 2–6,Unknown,">5,000 pc",2024
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,Microlensing,2019.0,KMTNet,14.0,230.0,,1.6,6500.0,,,0.33,2010,Gas giant 6–15,Unknown,">5,000 pc",2019
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,Microlensing,2023.0,KMTNet,1.7,3.54,,1.78,4240.0,,,0.41,2020,Super-Earth 1.25–2,Unknown,"1,000–5,000 pc",2023
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,Microlensing,2025.0,KMTNet,12.5,2809.60311788,,15.91,7800.0,,,0.36,2020,Gas giant 6–15,Unknown,">5,000 pc",2025
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,Microlensing,2024.0,KMTNet,14.2,171.0,,2.14,8030.0,,,0.4,2020,Gas giant 6–15,Unknown,">5,000 pc",2024
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,Microlensing,2021.0,KMTNet,13.4,664.26137063,,2.14,7040.0,,,0.46,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,Microlensing,2020.0,KMTNet,2.67,7.59,,4.27,3380.0,,,1.14,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2020
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,Microlensing,2022.0,KMTNet,13.6,460.85119015,,4.39,6480.0,,,0.51,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,Microlensing,2022.0,KMTNet,10.1,73.10053361,,0.87,7020.0,,,0.1,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,Microlensing,2022.0,KMTNet,13.4,670.61793877,,2.46,6760.0,,,0.29,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,Microlensing,2020.0,KMTNet,9.01,60.0,,0.62,7300.0,,,0.087,2020,Gas giant 6–15,Unknown,">5,000 pc",2020
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,Microlensing,2023.0,KMTNet,11.9,9217.023803,,1.07,6890.0,,,0.29,2020,Gas giant 6–15,Unknown,">5,000 pc",2023
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,Microlensing,2021.0,KMTNet,2.34,6.059,,1.305,6705.0,,,0.219,2020,Neptune-like 2–6,Unknown,">5,000 pc",2021
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,Microlensing,2020.0,KMTNet,12.9,1400.0,,6.03,3460.0,,,1.09,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2020
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,Microlensing,2021.0,KMTNet,10.5,77.86795971,,1.449,6483.0,,,0.193,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,Microlensing,2021.0,KMTNet,13.3,705.57906354,,3.54,5840.0,,,0.65,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,Microlensing,2022.0,KMTNet,2.22,5.56,,3.09,4150.0,,,0.47,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2022
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,Microlensing,2019.0,KMTNet,12.9,111.0,,0.763,967.0,,,0.094,2010,Gas giant 6–15,Unknown,"500–1,000 pc",2019
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,Microlensing,2021.0,KMTNet,13.7,346.43296363,,4.27,5910.0,,,0.69,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,Microlensing,2022.0,KMTNet,13.7,365.50266805,,3.81,4310.0,,,0.66,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2022
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,Microlensing,2022.0,KMTNet,2.99,9.2,,3.1,4900.0,,,0.7,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2022
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,Microlensing,2023.0,KMTNet,12.1,6038.739733,,0.96,3090.0,,,0.21,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2023
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,Microlensing,2023.0,KMTNet,13.4,575.26941667,,5.67,6710.0,,,0.7,2020,Gas giant 6–15,Unknown,">5,000 pc",2023
KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,Microlensing,2023.0,KMTNet,12.1,6674.396547,,1.64,7710.0,,,0.32,2020,Gas giant 6–15,Unknown,">5,000 pc",2023
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,Microlensing,2021.0,KMTNet,12.6,2447.2787339,,0.79,7010.0,,,0.09,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022.0,KMTNet,12.9,1452.47581999,,1.16,4410.0,,,0.74,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2022
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,Microlensing,2025.0,KMTNet,13.7,381.3940884,,2.0,7300.0,,,0.28,2020,Gas giant 6–15,Unknown,">5,000 pc",2025
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,Microlensing,2020.0,KMTNet,3.19,10.28,,3.31,3320.0,,,0.76,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2020
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,Microlensing,2022.0,KMTNet,4.06,15.5,,1.1,7200.0,,,0.28,2020,Neptune-like 2–6,Unknown,">5,000 pc",2022
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,Microlensing,2022.0,KMTNet,9.05,60.38739733,,1.7,6600.0,,,0.3,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,Microlensing,2023.0,KMTNet,5.98,29.87587026,,2.44,2740.0,,,0.39,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2023
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,Microlensing,2020.0,KMTNet,13.7,397.0,,2.15,6120.0,,,0.48,2020,Gas giant 6–15,Unknown,">5,000 pc",2020
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,Microlensing,2023.0,KMTNet,1.85,4.08,,1.7,4670.0,,,0.25,2020,Super-Earth 1.25–2,Unknown,"1,000–5,000 pc",2023
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,Microlensing,2022.0,KMTNet,13.0,1287.20504835,,2.6,4600.0,,,0.79,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2022
KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,Microlensing,2021.0,KMTNet,13.2,813.64072192,,3.32,3860.0,,,0.61,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2021
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,Microlensing,2023.0,KMTNet,2.0,4.67,,3.02,6640.0,,,0.74,2020,Super-Earth 1.25–2,Unknown,">5,000 pc",2023
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,Microlensing,2020.0,KMTNet,14.1,200.0,,,7040.0,,,0.31,2020,Gas giant 6–15,Unknown,">5,000 pc",2020
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,Microlensing,2023.0,KMTNet,13.7,368.68095212,,1.85,5910.0,,,0.34,2020,Gas giant 6–15,Unknown,">5,000 pc",2023
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,Microlensing,2022.0,KMTNet,11.4,88.99195396,,2.0,6100.0,,,0.47,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2020-BLG-0202L b,KMT-2020-BLG-0202L,Microlensing,2026.0,KMTNet,12.4,3902.93283796,,4.17,3840.0,,,0.81,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2026
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,Microlensing,2021.0,KMTNet,1.2,1.87,,2.07,1220.0,,,0.49,2020,Earth-size 0.5–1.25,Unknown,"1,000–5,000 pc",2021
KMT-2020-BLG-0414L c,KMT-2020-BLG-0414L,Microlensing,2021.0,KMTNet,11.9,8581.366989,,22.3,1220.0,,,0.49,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2021
KMT-2021-BLG-0119L b,KMT-2021-BLG-0119L,Microlensing,2022.0,KMTNet,12.8,1754.41280664,,2.92,3130.0,,,0.56,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2022
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,2022.0,KMTNet,3.35,11.2,,3.5,4600.0,5200.0,,0.78,2020,Neptune-like 2–6,Unknown,"1,000–5,000 pc",2022
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022.0,KMTNet,6.56,34.96112477,,1.62,5120.0,,,0.27,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,Microlensing,2022.0,KMTNet,9.6,66.74396547,,2.8,6600.0,,,0.56,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,Microlensing,2022.0,KMTNet,6.2,31.7828407,,1.54,6950.0,,,0.32,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,Microlensing,2021.0,KMTNet,12.7,2034.1018048,,,6600.0,,,0.62,2020,Gas giant 6–15,Unknown,">5,000 pc",2021
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,Microlensing,2023.0,KMTNet,6.91,38.19,,2.22,3090.0,,,0.22,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2023
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,Microlensing,2025.0,KMTNet,4.86,21.0,,4.0,7000.0,,,0.6,2020,Neptune-like 2–6,Unknown,">5,000 pc",2025
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,Microlensing,2022.0,KMTNet,14.3,143.02278315,,2.43,6090.0,,,0.36,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-0852L b,KMT-2021-BLG-0852L,Microlensing,2026.0,KMTNet,14.2,155.73591943,,7.78,7230.0,,,0.75,2020,Gas giant 6–15,Unknown,">5,000 pc",2026
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,Microlensing,2023.0,KMTNet,13.7,400.46379282,,1.75,6480.0,,,0.38,2020,Gas giant 6–15,Unknown,">5,000 pc",2023
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,Microlensing,2022.0,KMTNet,1.49,2.81,,3.14,5560.0,,,0.8,2020,Super-Earth 1.25–2,Unknown,">5,000 pc",2022
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,Microlensing,2022.0,KMTNet,9.86,69.92224954,,1.26,8240.0,,,0.14,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,Microlensing,2022.0,KMTNet,10.6,79.45710175,,0.93,8240.0,,,0.14,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,Microlensing,2023.0,KMTNet,13.6,413.1769291,,3.54,4540.0,,,0.63,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2023
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,Microlensing,2023.0,KMTNet,13.9,279.68899816,,4.5,3800.0,,,0.73,2020,Gas giant 6–15,Unknown,"1,000–5,000 pc",2023
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,Microlensing,2022.0,KMTNet,4.59,19.05,,1.52,6640.0,,,0.24,2020,Neptune-like 2–6,Unknown,">5,000 pc",2022
KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,Microlensing,2022.0,KMTNet,13.6,120.77479466,,2.89,6280.0,,,0.57,2020,Gas giant 6–15,Unknown,">5,000 pc",2022
